username,name,gender,age,location,bio,picture,condition,class
sharB1,Sharon Belle,Female ,37,"Manhattan, KS","Food for the soul",sharB1.jpg,,
sharB2,Sharon Belle,Female ,37,"Manhattan, KS","Food for the soul",sharB2.jpg,,
jessie.mmm,Jessica Montgomery,Female ,20,,"manhattan, ks 📍",jessie.mmm.jpg,,
Alex.Farr,Alexander Farr,Male,20,"Manhattan,KS","KSU ‘27
Joshua 1:9 ✝️",Alex.Farr.jpg,,
SocialSteph,Stephanie Wells,Female,35,"Manhatt","mommy of 4 and KSU alum",SocialSteph.jpg,,
thatonecoolguy67,Scott Murphy,Male,20,"MHK","Kansas State University 2029 College of Engineering",thatonecoolguy67.jpg,,
just_a_girl,Callie Brown,Female ,21,"Manhattan, KS","I’m just a girl in the world 🩷💅✨",just_a_girl.jpg,,
patty333,Patricia Welks,Female ,19,"MKH","ksu ’28 💜 environmental science 🐛🌳♻️🌾",patty333.jpg,,,
real_garydorwin,Gary Dorwin,male,37,"Salina, KS","Photography and travel tips.",real_garydorwin.jpg,,
russ72,Russel Harvey,male,54,"Manhattan, KS","Husband and Dad who enjoys the simple things",russ72.jpg,,
Shay.Kauf72,Shay Kaufman,Female ,20,"Manhattan, KS","Coffee, because adulting is hard 🫣 KSTATE ‘27",Shay.Kauf72.jpg,,
Becs_on_bway,Becca Steinman,Female ,18,"Wichita, KS","Born to Perform ✨ Also, follow my singing page: @becs.sings",Becs_on_bway.jpg,,
Col_We,Cole Wheaton ,male,22,"Manhattan, KS",,Col_We.jpg,,
j.plack04,Julie Plack,Female ,46,"KC, MO","Hi I am Julie and I am 46! My kids told me to get on social media more so here I am haha 😆I hope I know how to work this thing 🤪",j.plack04.jpg,,
lexisbookshelf,Alexis Smith,Female ,19,,"books, education, and music! cr: wuthering heights",lexisbookshelf.jpg,,
big_dog.JACK,Jackson Randy,Male,19,"Manhattan, KS","Stay true to yourself 🙏🏻💯",big_dog.JACK.jpg,,
err,sdffdsjklkjoioi,jxlw,,lqkjdoj,qweiuui fdssdfsdfsdf ertresdffdsdsaasd sdsddssssduiouio,err.jpg,,
